0,1,2,credits,imdbId,movieId,overview,popularity,production_countries,release_date,tmdbId,vote_average
44,Mortal Kombat (1995),Action|Adventure,Paul W.S. Anderson,113855.0,44.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",7.478,United States of America,1995-08-18,9312.0,5.6
45,To Die For (1995),Comedy|Drama,Gus Van Sant,114681.0,45.0,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",6.456,Canada,1995-09-22,577.0,6.7
46,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,113347.0,46.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",6.848,United States of America,1995-10-06,11861.0,6.3
47,Seven (Se7en) (1995),Crime|Thriller,Stuart Orme,,,"The Earth is invaded by alien parasites aka ""slugs"" that ride on people's backs and control their minds. A trio of American government agents attempt to thwart this.",5.772,United States of America,1994-10-21,,5.8
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Mike Gabriel,114148.0,48.0,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",15.732,United States of America,1995-06-14,10530.0,6.9
49,When Night Is Falling (1995),Drama|Romance,Patricia Rozema,114916.0,49.0,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",2.727,Canada,1995-05-05,8391.0,6.6
50,"Usual Suspects, The (1995)",Crime|Thriller,Bryan Singer,114814.0,50.0,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",15.648,United States of America,1995-07-19,629.0,8.2
51,Guardian Angel (1994),Action|Drama|Thriller,Richard W. Munchkin,109950.0,51.0,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",1.303,,1994-11-22,117164.0,6.3
52,Mighty Aphrodite (1995),Comedy,Woody Allen,113819.0,52.0,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",5.959,United States of America,1995-09-13,11448.0,6.8
53,Lamerica (1994),Drama,Gianni Amelio,110299.0,53.0,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",0.951,Italy,1994-01-01,49133.0,7.4
54,"Big Green, The (1995)",Children's|Comedy,Holly Goldberg Sloan,112499.0,54.0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",5.376,United States of America,1995-09-29,26441.0,5.1
55,Georgia (1995),Drama,Ulu Grosbard,113158.0,55.0,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",2.125,France,1995-05-19,97406.0,6.3
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,Robert Tinnell,113541.0,56.0,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",0.6,,1997-07-08,124057.0,4.0
57,Home for the Holidays (1995),Drama,Jodie Foster,113321.0,57.0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",4.883,United States of America,1995-11-02,9089.0,6.3
58,"Postino, Il (The Postman) (1994)",Drama|Romance,Fernando Trueba,,,A young gallerist is in love with two sisters at the same time. In order to solve the problem he decides to invent his own twin-brother.,4.13,Spain,1995-12-01,,5.5
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,Mika Kaurismäki,,,Prison guard falls in love with inmate. She wants him to let her escape.,0.731,United States of America,1995-12-08,,4.7
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,Frank Oz,113419.0,60.0,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,5.924,United States of America,1995-07-14,11359.0,6.0
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,116260.0,61.0,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",6.099,United States of America,1996-01-12,17182.0,6.0
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,113862.0,62.0,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",6.143,United States of America,1995-12-29,2054.0,7.1
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Paris Barclay,116126.0,63.0,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",10.842,United States of America,1996-01-12,10607.0,6.2
64,Two if by Sea (1996),Comedy|Romance,Bill Bennett,118002.0,64.0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",2.665,United States of America,1996-01-12,19760.0,4.8
65,Bio-Dome (1996),Comedy,Bradley Jenkel,115683.0,65.0,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",6.742000000000001,United States of America,1996-01-12,9536.0,4.4
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,Farhad Mann,116839.0,66.0,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",6.0870000000000015,United States of America,1996-01-12,11525.0,2.9
67,Two Bits (1995),Drama,Joseph Stefano,114753.0,67.0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",1.835,United States of America,1995-10-22,40628.0,5.8
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,113149.0,68.0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",5.002,France,1995-02-08,4482.0,6.2
69,Friday (1995),Comedy,F. Gary Gray,113118.0,69.0,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",12.42,United States of America,1995-04-26,10634.0,7.1
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,Robert Rodriguez,116367.0,70.0,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.039,United States of America,1996-01-19,755.0,7.0
71,Fair Game (1995),Action,Andrew Sipes,113010.0,71.0,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",9.308,United States of America,1995-11-03,11859.0,4.1
72,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,113537.0,72.0,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",2.994,United States of America,1995-10-06,28387.0,6.9
73,"Mis�rables, Les (1995)",Drama|Musical,David Greene,,,"Elmer Jackson is a carpenter in a small Californian town in the 1930s. Struggling to bring up 4 young boys after the death of his wife, he is horrified when the Government (citing trumped-up charges of parental neglect) places the boys into various foster homes and institutions, unaware of the abuse that boys would then be subjected to. The conditions imposed by the court and the difficulties caused by the Depression make Jackson's determined and vigorous quest to find his boys extremely difficult.",1.4,,1987-10-11,,7.8
74,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,115644.0,74.0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",3.665,United States of America,1996-01-26,20927.0,5.4
75,Big Bully (1996),Comedy|Drama,Steve Miner,115676.0,75.0,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.723,United States of America,1996-01-26,36929.0,4.0
76,Screamers (1995),Sci-Fi|Thriller,Dan O'Bannon,114367.0,76.0,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",7.591,Canada,1995-09-08,9102.0,6.2
77,Nico Icon (1995),Documentary,Susanne Ofteringer,113973.0,77.0,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",0.782,Germany,1995-02-18,124626.0,7.5
78,"Crossing Guard, The (1995)",Drama,David Hamburger,112744.0,78.0,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",5.689,United States of America,1995-11-15,27526.0,6.0
79,"Juror, The (1996)",Drama|Thriller,Brian Gibson,116731.0,79.0,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",5.934,United States of America,1996-02-02,9623.0,5.5
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,George Hickenlooper,,,Yale graduate John has come to Hollywood to catch his big break. It hasn't happened yet.,0.681,,1995-11-01,,6.0
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Gabriel Barylli,,,German Comedy,0.6,Germany,1996-04-11,,0.0
82,Antonia's Line (Antonia) (1995),Drama,Marleen Gorris,112379.0,82.0,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",3.941,Netherlands,1995-09-12,880.0,7.4
